latitude,longitude,title,description
33.684666666666665,102.103,མཚན་སྒྲོགས་དགོན་དགའ་ལྡན་བཀྲ་ཤིས་ཆོས་འཕེལ་གླིང,"SN_id: SNG79 Remarks: Verified based on the book""Monasteries of Amdo""Vol1"
33.851652,101.132839,རྨུར་བྱེའི་བསམ་གཏན་ཆོས་གླིང,"SN_id: SNG84 Remarks: Verified based on the book""Monasteries of Amdo""Vol1"
34.046865,103.245475,བྱ་བྲང་བོན་དགོན,SN_id: SNG85 Remarks: Verified based on the information provided in GE
34.131102,103.245848,ཏེའི་སྒང་དགོན་དགའ་ལྡན་ཕུན་ཚོགས་གླིང,SN_id: SNG87 Remarks: Verified based on the information provided in the dataset.Its the closest temple to the reference coordinates
34.751956,103.956635,སྤོས་ལུང་ཞྭ་ནག་དགོན་པ,SN_id: SNG88 Remarks: Verified based on the GE.Temple shows on GE
36.97694,103.008976,ཡར་ལུང་ཐུར་ཆེན་དགོན་དགའ་ལྡན་བྱམས་པ་གླིང་ངམ་དགོན་གསར་ཐོས་བསམ་དར་རྒྱས་གླིང,"SN_id: SNG90 Remarks: Verified based on the book ""Monasteries of Amdo"""
36.9454704962792,102.509831720418,མཆོད་རྟེན་ཐང་བཀྲ་ཤིས་དར་རྒྱས་གླིང,SN_id: SNG91 Remarks: Visible on GE
35.0315453943738,103.515985503208,ཁང་ཐོད་སྟོད་མའི་དགོན་ཕུན་ཚོགས་དགའ་ལྡན་གླིང,SN_id: SNG92 Remarks: Verified based on GE and the information provided in the dataset
33.59461,104.501921,ཇོ་ཏོ་རི་ཁྲོད་བཤད་སྒྲུབ་དར་རྒྱས་གླིང,SN_id: SNG93 Remarks: same as the reference coordinates
34.949899,103.128911,མཛོད་དགེ་རུ་སྟོད་མའི་དགོན་དགེ་ལྡན་བསྟན་པ་འཕེལ་རྒྱས་གླིང,SN_id: SNG95 Remarks: Closet temple from the reference coordinates almost at same location.
